ID_venta,Sucursal,Fecha,ID_producto,Nombre_producto,Categoría_producto,Precio_unitario,Cantidad_vendida,Monto_total,ID_empleado,Nombre_empleado,Evaluación_atención,Descuento,Ubicación_cliente,Ciudad,Método_pago,Hora_venta
V1000,Sucursal 1,2023-03-01,3,Auriculares Bluetooth,Ropa,80.0,1,400.0,E3,Pedro Gomez,2,10,Zona 1,Loja,Tarjeta de credito,Noche
V1001,Sucursal 1,2023-01-29,8,Tablet,Electronica,40.0,7,280.0,E5,Jose Lopez,5,5,Zona 2,Guayaquil,Tarjeta de credito,Mañana
V1002,Sucursal 1,2023-02-16,6,Auriculares Bluetooth,Accesorios,80.0,1,480.0,E4,Lucia Martinez,1,5,Zona 3,Ambato,Efectivo,Tarde
V1003,Sucursal 1,2023-03-10,10,Auriculares Bluetooth,Ropa,80.0,7,800.0,E5,Lucia Martinez,5,20,Zona 3,Guayaquil,PayPal,Tarde
V1004,Sucursal 1,2023-03-13,7,Reloj,Ropa,120.0,9,320.0,E2,Jose Lopez,2,0,Zona 1,Ambato,PayPal,Mañana
V1005,Sucursal 1,2023-01-24,8,Reloj,Calzado,40.0,6,480.0,E3,Jose Lopez,3,5,Zona 3,Guayaquil,Tarjeta de debito,Noche
V1006,Sucursal 1,2023-01-25,3,Cargador inalambrico,Accesorios,30.0,2,480.0,E3,Pedro Gomez,4,10,Zona 1,Guayaquil,Efectivo,Noche
V1007,Sucursal 1,2023-01-15,8,Cargador inalambrico,Electronica,500.0,8,150.0,E3,Jose Lopez,5,20,Zona 3,Loja,PayPal,Mañana
V1008,Sucursal 1,2023-02-22,9,Auriculares Bluetooth,Electronica,80.0,5,420.0,E2,Pedro Gomez,4,5,Zona 1,Guayaquil,Tarjeta de debito,Mañana
V1009,Sucursal 1,2023-03-03,5,Tablet,Calzado,25.0,6,120.0,E2,Lucia Martinez,5,0,Zona 2,Ambato,PayPal,Mañana
V1010,Sucursal 1,2023-03-08,2,Reloj,Ropa,30.0,7,1500.0,E4,Ana Garcia,4,0,Zona 3,Cuenca,Tarjeta de debito,Noche
V1011,Sucursal 1,2023-03-07,4,Pantalones,Calzado,60.0,9,240.0,E5,Lucia Martinez,5,15,Zona 1,Cuenca,PayPal,Tarde
V1012,Sucursal 1,2023-03-19,3,Pantalones,Ropa,250.0,2,250.0,E1,Jose Lopez,2,0,Zona 2,Guayaquil,Efectivo,Noche
V1013,Sucursal 1,2023-03-23,5,Chaqueta de cuero,Ropa,300.0,9,120.0,E1,Carlos Perez,1,10,Zona 2,Quito,Tarjeta de credito,Noche
V1014,Sucursal 1,2023-03-15,10,Smartphone,Electronica,40.0,8,360.0,E3,Lucia Martinez,3,20,Zona 1,Quito,Tarjeta de credito,Mañana
V1015,Sucursal 1,2023-02-19,7,Chaqueta de cuero,Ropa,150.0,6,2100.0,E2,Jose Lopez,5,0,Zona 3,Cuenca,Efectivo,Tarde
V1016,Sucursal 1,2023-01-03,7,Chaqueta de cuero,Electronica,30.0,5,750.0,E2,Pedro Gomez,3,5,Zona 1,Ambato,Tarjeta de debito,Mañana
V1017,Sucursal 1,2023-02-24,8,Cargador inalambrico,Electronica,40.0,10,240.0,E2,Carlos Perez,3,5,Zona 1,Cuenca,Tarjeta de debito,Mañana
V1018,Sucursal 1,2023-01-04,1,Cargador inalambrico,Accesorios,80.0,1,250.0,E2,Carlos Perez,1,20,Zona 2,Ambato,Transferencia,Tarde
V1019,Sucursal 1,2023-02-14,2,Camiseta,Ropa,25.0,8,60.0,E1,Ana Garcia,3,15,Zona 1,Ambato,Efectivo,Noche
V1020,Sucursal 1,2023-03-01,3,Tablet,Ropa,30.0,3,150.0,E1,Ana Garcia,2,0,Zona 2,Guayaquil,Tarjeta de debito,Tarde
V1021,Sucursal 1,2023-02-06,9,Reloj,Electronica,30.0,1,480.0,E2,Lucia Martinez,5,5,Zona 1,Cuenca,Tarjeta de credito,Tarde
V1022,Sucursal 1,2023-02-28,2,Pantalones,Accesorios,300.0,2,250.0,E2,Carlos Perez,1,10,Zona 3,Quito,Transferencia,Mañana
V1023,Sucursal 1,2023-02-21,6,Pantalones,Electronica,80.0,7,300.0,E1,Lucia Martinez,3,5,Zona 1,Ambato,Tarjeta de debito,Mañana
V1024,Sucursal 1,2023-01-19,3,Bicicleta,Electronica,500.0,3,240.0,E2,Lucia Martinez,1,0,Zona 1,Ambato,PayPal,Mañana
V1025,Sucursal 1,2023-02-01,3,Zapatos deportivos,Electronica,25.0,7,50.0,E2,Carlos Perez,5,15,Zona 1,Guayaquil,Tarjeta de credito,Mañana
V1026,Sucursal 1,2023-03-04,6,Smartphone,Electronica,80.0,3,600.0,E4,Ana Garcia,1,15,Zona 2,Guayaquil,Tarjeta de credito,Mañana
V1027,Sucursal 1,2023-02-21,2,Reloj,Electronica,500.0,7,1500.0,E4,Lucia Martinez,1,0,Zona 2,Cuenca,Tarjeta de debito,Mañana
